posts/Youtube.md	Youtube		
posts/Website Plans.md	Website Plans		
posts/Please Make D.C. a State Already.md	Please Make D.C. a state already		
posts/Please Dont Save Powerpoints as PDFs.md	Please Dont Save Powerpoints as PDFs		
posts/No car, no Comp.md	No Car, No Comp		
posts/I should have seen it coming.md	I should have seen it coming		
posts/Going Grocery Shopping on a Bicycle.md	Going Grocery Shopping on a Bicycle		
posts/First Post.md	First Post		
posts/Feeling out of place.md	Feeling out of Place		
posts/Book Reading Part 1.md	Book Reading Part 1		
posts/Blank Major is a Ponzi Sceme.md	Blank Major is a Ponzi Scheme		
posts/Anime List.md	Anime List		
posts/AI voice.md	AI Voice		
